
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-11 20:04:06 /api/reseller-logs ....................................................................... ~ 1s
  2026-03-11 20:04:06 /api/team ................................................................................ ~ 1s
  2026-03-11 20:04:06 /api/online-users ........................................................................ ~ 2s
  2026-03-11 20:04:10 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:04:11 /api/online-widget/settings ........................................................ ~ 502.66ms
  2026-03-11 20:04:11 /api/dashboard ........................................................................... ~ 1s
  2026-03-11 20:04:12 /api/online-users ........................................................................ ~ 1s
  2026-03-11 20:04:12 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:04:13 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:04:13 /api/super-admin/tenants ................................................................. ~ 1s
  2026-03-11 20:04:14 /api/super-admin/admin-management ........................................................ ~ 1s
  2026-03-11 20:04:14 /api/programs ............................................................................ ~ 1s
  2026-03-11 20:04:15 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:04:15 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:04:16 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:04:16 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:04:17 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:04:17 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:04:17 /api/super-admin/customers ............................................................... ~ 1s
  2026-03-11 20:04:18 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:04:22 /api/online-widget/settings ........................................................ ~ 508.01ms
  2026-03-11 20:04:22 /api/super-admin/financial-reports ....................................................... ~ 1s
  2026-03-11 20:04:22 /api/super-admin/reports/revenue ......................................................... ~ 1s
  2026-03-11 20:04:22 /api/super-admin/reports/activations ..................................................... ~ 1s
  2026-03-11 20:04:23 /api/super-admin/reports/growth .......................................................... ~ 1s
  2026-03-11 20:04:24 /api/super-admin/reports/top-resellers ................................................... ~ 1s
  2026-03-11 20:04:24 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:04:28 /api/online-widget/settings ........................................................ ~ 508.26ms
  2026-03-11 20:04:28 /api/super-admin/online-users ............................................................ ~ 1s
  2026-03-11 20:04:31 /api/online-widget/settings ........................................................ ~ 500.56ms
